Name,Set,Qty,Foil,Avg Price,Rarity,Number,scryfall_id,collector_number,scryfall_set,scryfall_rarity
Ruinous Path,Buy-a-Box Promos,1,TRUE,0.11,Special,26,,,,
"Kenrith, the Returned King (Non-Foil)",Buy-a-Box Promos,1,FALSE,6.26,Special,53b,,,,
"Jaxis, the Troublemaker",Buy-a-Box Promos,1,TRUE,0.29,Rare,68,,,,
Green Sun's Twilight,Buy-a-Box Promos,1,TRUE,0.26,Rare,284,,,,
"Omnath, Locus of All",Buy-a-Box Promos,2,TRUE,0.47,Rare,73,,,,
"Jolrael, Voice of Zhalfir",Buy-a-Box Promos,1,TRUE,0.27,Rare,74,,,,
Trailblazer's Boots,Buy-a-Box Promos,1,TRUE,1.75,Rare,74,,,,
Expel the Interlopers,Buy-a-Box Promos,1,TRUE,0.32,Rare,381,,,,
Wojek Investigator,Buy-a-Box Promos,1,TRUE,0.37,Rare,77,,,,
