Name,Set,Qty,Foil,Avg Price,Rarity,Number,scryfall_id,collector_number,scryfall_set,scryfall_rarity
Teleportation Circle,Adventures in the Forgotten Realms,1,TRUE,8.98,Rare,39,90140bc0-4a9c-4422-b07c-3400c7ccde56,39,afr,rare
Dragon Turtle,Adventures in the Forgotten Realms,1,TRUE,0.47,Rare,56,d436ba80-386f-40ad-b0ca-a98cc50de964,56,afr,rare
Yuan-Ti Malison,Adventures in the Forgotten Realms,1,TRUE,0.23,Rare,86,0f51afd9-7093-4aa3-ad5b-7383684d6285,86,afr,rare
Meteor Swarm,Adventures in the Forgotten Realms,1,TRUE,0.24,Rare,155,b8f5e669-4e69-4763-bbb9-e9685bde912c,155,afr,rare
Wish,Adventures in the Forgotten Realms,1,TRUE,2.43,Rare,166,3ed021d2-e2bc-44b3-8934-4bd02e0a42ec,166,afr,rare
Ranger Class,Adventures in the Forgotten Realms,1,TRUE,0.65,Rare,202,7ca392ca-3219-4694-9a74-aa079c76b91e,202,afr,rare
Dungeon Map,Adventures in the Forgotten Realms,1,FALSE,0.20,Uncommon,242,028506ad-ad36-44e5-b488-d038e2d2445f,242,afr,uncommon
Dungeon Descent,Adventures in the Forgotten Realms,1,TRUE,0.21,Rare,255,f4cccdbc-f4f4-42b6-9747-6ef703ff949a,255,afr,rare
Treasure Vault,Adventures in the Forgotten Realms,1,FALSE,3.30,Rare,261,a0931eb3-b403-4b1a-ad46-a7b0a51bb9a4,261,afr,rare
