Name,Set,Qty,Foil,Avg Price,Rarity,Number,scryfall_id,collector_number,scryfall_set,scryfall_rarity
Defile,Modern Horizons,1,FALSE,1.00,Common,86,5bcb4398-edd1-41a7-a496-b12bce22ceb6,86,mh1,common
Goblin Champion,Modern Horizons,1,FALSE,0.20,Common,127,9543660a-6797-4719-bbe7-ff6e40709599,127,mh1,common
Smoke Shroud,Modern Horizons,1,FALSE,0.25,Common,69,e07c876e-ae1c-4b54-8d8a-9f3fd76ca64c,69,mh1,common
Trustworthy Scout,Modern Horizons,1,FALSE,0.15,Common,33,8a65f118-3812-4698-8f43-669ceb6b7982,33,mh1,common
