Name,Set,Qty,Foil,Avg Price,Rarity,Number,scryfall_id,collector_number,scryfall_set,scryfall_rarity
Auger Spree,Double Masters 2022,1,FALSE,0.15,Common,178,f0d7413b-2ad3-4e8f-8728-5649f938d06e,178,2x2,common
"Aurelia, the Warleader",Double Masters 2022,1,FALSE,10.32,Mythic Rare,179,7722682f-952c-4829-b4ef-e52300b7950e,179,2x2,mythic
Balefire Liege,Double Masters 2022,1,FALSE,1.57,Rare,180,3ed13445-c9a0-4f17-aa69-af353679e6a7,180,2x2,rare
Bant Charm,Double Masters 2022,1,FALSE,0.25,Uncommon,181,7906b1e8-3049-4f4e-b1fd-b2547e7079f0,181,2x2,uncommon
Bear's Companion,Double Masters 2022,1,FALSE,0.15,Uncommon,182,28194ca7-3b2a-49b8-8f03-56a2c97859d9,182,2x2,uncommon
Blazing Hellhound,Double Masters 2022,1,FALSE,0.15,Uncommon,183,a8b85603-0ac6-4587-9724-e35ac06ffab9,183,2x2,uncommon
Bloodbraid Elf,Double Masters 2022,1,FALSE,0.25,Uncommon,184,e2f12f6f-9383-47e6-a44f-2834ad130e51,184,2x2,uncommon
Bloodwater Entity,Double Masters 2022,1,FALSE,0.20,Common,185,cdddab31-1455-4b31-ba81-c346e608c34e,185,2x2,common
Boartusk Liege,Double Masters 2022,1,FALSE,0.50,Rare,186,0f28e081-7994-468d-8505-9981b90c001c,186,2x2,rare
Bounty of the Luxa,Double Masters 2022,1,FALSE,0.22,Uncommon,187,0e038250-f8a9-4bce-baa6-7c2502929b59,187,2x2,uncommon
Bring to Light,Double Masters 2022,1,FALSE,0.50,Rare,188,e3399260-a81a-475c-9b87-1efb1a13f8d6,188,2x2,rare
Burning-Tree Emissary,Double Masters 2022,1,FALSE,0.25,Common,189,ba327a5e-bd57-4e24-b4b4-062202df30e1,189,2x2,common
Call to the Feast,Double Masters 2022,1,FALSE,0.20,Common,190,cf31f32f-bbca-4e70-93ca-f74c20202939,190,2x2,common
Cartel Aristocrat,Double Masters 2022,1,FALSE,0.19,Common,191,17906962-d89f-42ae-b019-22974490513c,191,2x2,common
Child of Alara,Double Masters 2022,1,FALSE,0.75,Rare,192,b2373625-af3c-4c2a-a1d1-5288c446955d,192,2x2,rare
Chronicler of Heroes,Double Masters 2022,1,FALSE,0.15,Common,193,76a60ba3-208c-41c9-a40a-46d3586acdfd,193,2x2,common
Coiling Oracle,Double Masters 2022,1,FALSE,0.20,Common,194,ffec325d-63d9-4f01-8bfd-ae6618b3e891,194,2x2,common
Conclave Mentor,Double Masters 2022,1,FALSE,0.32,Uncommon,195,2e2d72f6-bde3-49fb-976e-2d0c4dce60e3,195,2x2,uncommon
Crackling Doom,Double Masters 2022,1,FALSE,0.34,Uncommon,196,a66e5673-e34b-46e8-a0e4-55f3ee20f99a,196,2x2,uncommon
Creakwood Liege,Double Masters 2022,1,FALSE,1.76,Rare,197,4b4e9ea4-5b86-4eb1-965c-ae67be24f4ea,197,2x2,rare
Dack's Duplicate,Double Masters 2022,1,FALSE,0.45,Rare,198,439ad8e0-575b-43cc-95fd-53ddd14e65c2,198,2x2,rare
Dauntless Escort,Double Masters 2022,1,FALSE,0.39,Rare,199,970ccd70-4b94-4287-977e-6262731c58d1,199,2x2,rare
Deathbringer Liege,Double Masters 2022,1,FALSE,0.52,Rare,200,f72d5f2f-7e54-4538-9f0a-eed464a74016,200,2x2,rare
"Doran, the Siege Tower",Double Masters 2022,1,FALSE,0.50,Rare,201,e0ad8e7f-cda0-4529-94fc-dd3709158a94,201,2x2,rare
Dragonlord Dromoka,Double Masters 2022,1,FALSE,12.21,Mythic Rare,202,4262e71a-b1fa-4b54-b623-34f4a7ccd500,202,2x2,mythic
Dragonlord Silumgar,Double Masters 2022,1,FALSE,3.51,Mythic Rare,203,9ee837b8-c280-4a5b-acdf-71247ab096f5,203,2x2,mythic
Dreg Mangler,Double Masters 2022,1,FALSE,0.15,Common,204,162a865b-617d-40bf-900f-4aeca3602600,204,2x2,common
Drogskol Reaver,Double Masters 2022,1,FALSE,1.74,Rare,205,76f0ae1f-75cf-4bb0-8651-fbf14fa59f81,205,2x2,rare
Dromoka's Command,Double Masters 2022,1,FALSE,0.35,Rare,206,1437f747-51b7-4fe1-bd98-282a27c3470f,206,2x2,rare
"Elenda, the Dusk Rose",Double Masters 2022,1,FALSE,5.01,Mythic Rare,207,25e34147-588b-4fe5-88dd-2dfda567681d,207,2x2,mythic
Elsha of the Infinite,Double Masters 2022,1,FALSE,0.49,Rare,208,c0728027-a1ec-4814-87c4-10c3baced0e0,208,2x2,rare
Empyrial Archangel,Double Masters 2022,1,FALSE,0.35,Rare,209,d908d523-1911-4a49-9e3f-ea1b719a8f0b,209,2x2,rare
Extract from Darkness,Double Masters 2022,1,FALSE,0.25,Uncommon,210,e0769e3f-d27d-4aff-8da0-f03c10b8650b,210,2x2,uncommon
"Ezuri, Claw of Progress",Double Masters 2022,1,FALSE,1.89,Mythic Rare,211,6bf721b0-2b5a-4085-b50c-89cbe7420673,211,2x2,mythic
Fiery Justice,Double Masters 2022,1,FALSE,0.25,Rare,212,144668d6-cab6-45e6-8498-ab7cd927f9df,212,2x2,rare
Figure of Destiny,Double Masters 2022,1,FALSE,0.38,Rare,213,6d779966-4bd4-4315-8b45-d3a4492f2bb2,213,2x2,rare
Fireblade Artist,Double Masters 2022,1,FALSE,0.15,Common,214,df03ac18-1ab4-4264-9821-3f92333c3ed8,214,2x2,common
Firesong and Sunspeaker,Double Masters 2022,1,FALSE,0.30,Rare,215,4d5edf4f-5695-42fc-9e57-c4faef60fbc3,215,2x2,rare
"Ghave, Guru of Spores",Double Masters 2022,1,FALSE,0.72,Mythic Rare,216,c2be0e99-cf43-423f-974f-02e3313b3aa9,216,2x2,mythic
Glen Elendra Liege,Double Masters 2022,1,FALSE,0.50,Rare,217,374d2d74-1209-4822-b370-ab8b049d4ce0,217,2x2,rare
Glimpse the Unthinkable,Double Masters 2022,1,FALSE,2.29,Rare,218,c54a2256-673d-4d93-9e1d-7790bf254881,218,2x2,rare
Gloryscale Viashino,Double Masters 2022,1,FALSE,0.15,Uncommon,219,63c0e48e-e0a4-4a45-8d82-2ab56fee7246,219,2x2,uncommon
Glowspore Shaman,Double Masters 2022,1,FALSE,0.15,Common,220,541f56d8-3ea1-4750-b88d-c5a7837681b5,220,2x2,common
Grand Arbiter Augustin IV,Double Masters 2022,1,FALSE,6.54,Rare,221,f43748ea-1d65-4ee8-9c66-221412a284c0,221,2x2,rare
Grim Flayer,Double Masters 2022,1,FALSE,0.39,Rare,222,1ce33033-f673-451e-bb8e-cd3e2309e4b4,222,2x2,rare
Ground Assault,Double Masters 2022,1,FALSE,0.15,Common,223,e8c61bd1-4bf5-4c38-835d-2249f8e8d5d4,223,2x2,common
Guided Passage,Double Masters 2022,1,FALSE,0.39,Rare,224,b66c8ada-82a6-46d9-acd0-b4ff9e1e12bd,224,2x2,rare
Hellkite Overlord,Double Masters 2022,1,FALSE,0.57,Mythic Rare,225,d99869b4-0bb6-444a-bdc4-5916371c9d29,225,2x2,mythic
Heroic Reinforcements,Double Masters 2022,1,FALSE,0.20,Uncommon,226,ca5817ce-a8ba-4007-b8ca-6d39a421a9bc,226,2x2,uncommon
Hostage Taker,Double Masters 2022,1,FALSE,0.34,Rare,227,e1481378-25c3-4f8d-93bc-0a433f467dca,227,2x2,rare
Hydroid Krasis,Double Masters 2022,1,FALSE,0.71,Rare,228,65010991-2097-4769-be96-f24b4bf9276f,228,2x2,rare
"Intet, the Dreamer",Double Masters 2022,1,FALSE,0.65,Rare,229,35517572-b5d4-4dbf-b090-4e4c4b040a0d,229,2x2,rare
Izzet Charm,Double Masters 2022,1,FALSE,0.25,Common,230,58f4b8a7-4153-4694-9aae-f61d3124c785,230,2x2,common
Jeskai Ascendancy,Double Masters 2022,1,FALSE,0.99,Rare,231,9a8399fc-4cba-44c5-888e-2cfc0f6739f6,231,2x2,rare
Jeskai Charm,Double Masters 2022,1,FALSE,0.25,Uncommon,232,d4c0fcdb-a312-4976-bcfb-73930c0a556c,232,2x2,uncommon
"Jodah, Archmage Eternal",Double Masters 2022,1,FALSE,0.59,Rare,233,73c18cb4-96b1-4af2-912e-974e22877ede,233,2x2,rare
"Judith, the Scourge Diva",Double Masters 2022,1,FALSE,0.30,Rare,234,e4fc28d1-61d5-4a78-8fbb-6566128486ce,234,2x2,rare
Kaalia of the Vast,Double Masters 2022,1,FALSE,4.27,Mythic Rare,235,93f6631f-f3a6-4d3c-8618-4b4ab4e82483,235,2x2,mythic
Kaervek the Merciless,Double Masters 2022,1,FALSE,0.44,Rare,236,d9b8259d-0bfa-4327-ac91-157c0b9e7dfb,236,2x2,rare
"Kambal, Consul of Allocation",Double Masters 2022,1,FALSE,3.45,Rare,237,b3e47d49-e5b5-487b-a1ec-373dbf89b2ec,237,2x2,rare
"Karador, Ghost Chieftain",Double Masters 2022,1,FALSE,0.45,Mythic Rare,238,6200ac79-b166-43d0-9a0b-5b547625ed57,238,2x2,mythic
Kolaghan's Command,Double Masters 2022,1,FALSE,0.70,Rare,239,a0dab027-a475-481b-b012-b6a76e21e494,239,2x2,rare
Lavalanche,Double Masters 2022,1,FALSE,0.25,Rare,240,e903a1d8-2127-4a32-9223-8ff6574c503f,240,2x2,rare
League Guildmage,Double Masters 2022,1,FALSE,0.19,Uncommon,241,07478486-b065-4173-837e-cd3335a0567d,241,2x2,uncommon
Legion's Initiative,Double Masters 2022,1,FALSE,1.29,Rare,242,e41f950f-b818-4150-af71-b53a502ca0d5,242,2x2,rare
Lightning Helix,Double Masters 2022,1,FALSE,0.30,Uncommon,243,58f25737-a195-4763-bc23-b3c4d38b9e58,243,2x2,uncommon
Lord of Extinction,Double Masters 2022,1,FALSE,7.96,Mythic Rare,244,696cb81d-bc00-4603-b340-c0b2e55c0959,244,2x2,mythic
Lotleth Troll,Double Masters 2022,1,FALSE,0.22,Uncommon,245,cc138550-a797-4a57-91b3-626aac1b1edd,245,2x2,uncommon
Lyev Skyknight,Double Masters 2022,1,FALSE,0.15,Common,246,2f3e1033-428a-4263-8813-fdb8bb4b6425,246,2x2,common
Magister Sphinx,Double Masters 2022,1,FALSE,0.50,Rare,247,be662808-e452-407d-b142-bf6f30990b5a,247,2x2,rare
"Marchesa, the Black Rose",Double Masters 2022,1,FALSE,2.03,Rare,248,3242a9f0-2ba3-4852-ac8f-366772ac1c62,248,2x2,rare
Martial Glory,Double Masters 2022,1,FALSE,0.15,Common,249,9bf662e7-e63f-40c2-b163-1ebce47d8696,249,2x2,common
Master Biomancer,Double Masters 2022,1,FALSE,1.58,Rare,250,a57b0e38-8931-4715-ac13-b3af30b27895,250,2x2,rare
Master of Cruelties,Double Masters 2022,1,FALSE,3.69,Mythic Rare,251,25266b22-3cee-4ac8-91e8-5a23fbaa457a,251,2x2,mythic
"Mathas, Fiend Seeker",Double Masters 2022,1,FALSE,0.50,Rare,252,921b65b1-18bf-4b02-a35d-7eaee1846611,252,2x2,rare
Mayael's Aria,Double Masters 2022,1,FALSE,2.10,Rare,253,a53170fe-7f18-47ef-b501-1ed398306419,253,2x2,rare
The Mimeoplasm,Double Masters 2022,1,FALSE,0.40,Rare,254,c8173413-0431-4b70-a509-f1bc11a59225,254,2x2,rare
Mindwrack Liege,Double Masters 2022,1,FALSE,0.35,Rare,255,8f6dd439-78f6-480b-bdc3-1cb3481bcaf1,255,2x2,rare
Mistmeadow Witch,Double Masters 2022,1,FALSE,0.20,Uncommon,256,c0119777-70da-4cba-8104-a7e78604d515,256,2x2,uncommon
Mizzix of the Izmagnus,Double Masters 2022,1,FALSE,0.52,Mythic Rare,257,069bf085-3f70-4c85-8e90-609d1d182e29,257,2x2,mythic
Murkfiend Liege,Double Masters 2022,1,FALSE,2.35,Rare,259,16677645-f635-4183-8afc-056520b94122,259,2x2,rare
"Nicol Bolas, God-Pharaoh",Double Masters 2022,1,FALSE,3.40,Mythic Rare,260,597ca22d-2f08-47b3-9d93-c4d685cefb5f,260,2x2,mythic
Orzhov Pontiff,Double Masters 2022,1,FALSE,0.15,Uncommon,261,3e36323c-75d0-475e-a5a7-9a1567ff2b62,261,2x2,uncommon
Phyrexian Tyranny,Double Masters 2022,1,FALSE,0.79,Rare,262,61cd85ec-13b3-4d63-b144-5baa39ad6524,262,2x2,rare
Privileged Position,Double Masters 2022,1,FALSE,3.27,Rare,263,9655bbe4-062f-4278-ad05-a326a64c5b69,263,2x2,rare
Prized Amalgam,Double Masters 2022,1,FALSE,0.51,Rare,264,844c9fa7-8751-49be-827a-7fb6986bae59,264,2x2,rare
Prophetic Bolt,Double Masters 2022,1,FALSE,0.20,Uncommon,265,94b79c31-597f-484b-a684-f1520cae314a,265,2x2,uncommon
Psychic Symbiont,Double Masters 2022,1,FALSE,0.15,Uncommon,266,1145d817-9c84-4acd-977c-fe00325568fd,266,2x2,uncommon
Qasali Pridemage,Double Masters 2022,1,FALSE,0.25,Common,267,a103646d-b363-4896-a48f-0527d746587e,267,2x2,common
Rafiq of the Many,Double Masters 2022,1,FALSE,0.31,Rare,268,12259d86-f610-47c7-bb81-0da9bb6a2795,268,2x2,rare
River Hoopoe,Double Masters 2022,1,FALSE,0.18,Uncommon,269,2aff9aa6-bc5e-476d-9dd1-1318ed521b6f,269,2x2,uncommon
Roon of the Hidden Realm,Double Masters 2022,1,FALSE,0.35,Rare,270,54e2d6c2-a233-4e37-94c9-673a4a957e0c,270,2x2,rare
"Ruric Thar, the Unbowed",Double Masters 2022,1,FALSE,0.45,Rare,271,aa828bdc-221e-4e81-9e71-6f288690ddcd,271,2x2,rare
Scab-Clan Giant,Double Masters 2022,1,FALSE,0.15,Uncommon,272,68aa496d-15c0-4da0-b3c9-4bb7e57d9a31,272,2x2,uncommon
Sedraxis Specter,Double Masters 2022,1,FALSE,0.15,Uncommon,273,89a0fe75-cfaf-483e-8412-9ffb5d96ae25,273,2x2,uncommon
"Sedris, the Traitor King",Double Masters 2022,1,FALSE,0.95,Mythic Rare,274,a4e787a7-3721-4ba7-b643-a103488cfc8a,274,2x2,mythic
Shattergang Brothers,Double Masters 2022,1,FALSE,0.29,Rare,275,52a30e27-4c52-4191-8541-e25732a2dd42,275,2x2,rare
"Sidisi, Brood Tyrant",Double Masters 2022,1,FALSE,0.40,Rare,276,32f08fd3-9c0a-476a-9894-1938179824c6,276,2x2,rare
"Skullbriar, the Walking Grave",Double Masters 2022,1,FALSE,0.90,Rare,277,3dd0bf11-4e43-43f1-82e3-755beed0ede0,277,2x2,rare
Sprouting Thrinax,Double Masters 2022,1,FALSE,0.21,Uncommon,278,41b05cf1-1bc2-43e1-b383-9cbb69517389,278,2x2,uncommon
Sultai Soothsayer,Double Masters 2022,1,FALSE,0.15,Uncommon,279,6dcc4f4b-a1bd-4581-858f-bbd3ff6a9d7a,279,2x2,uncommon
Supreme Verdict,Double Masters 2022,1,FALSE,2.64,Rare,280,20b5fe42-929c-406d-9377-40b49f9d2e2c,280,2x2,rare
"Tariel, Reckoner of Souls",Double Masters 2022,1,FALSE,1.24,Rare,281,b588dc15-68e6-4cbb-9345-a921c10f862d,281,2x2,rare
"Teneb, the Harvester",Double Masters 2022,1,FALSE,0.79,Rare,282,8caa7115-1b26-4615-842f-671b24dc96d8,282,2x2,rare
Tenth District Legionnaire,Double Masters 2022,1,FALSE,0.20,Common,283,cd0c8d75-fb20-49f2-9a03-35411f06c1a7,283,2x2,common
Terminate,Double Masters 2022,1,FALSE,0.49,Uncommon,284,3cba6180-a15e-4f7f-8843-e48e69e758a0,284,2x2,uncommon
Thistledown Liege,Double Masters 2022,1,FALSE,0.55,Rare,285,41a21a0c-fe3d-456b-a905-8d962c0b1e3c,285,2x2,rare
Thousand-Year Storm,Double Masters 2022,1,FALSE,3.78,Rare,286,274e22fb-7afc-43bc-b309-e36ee48d6b03,286,2x2,rare
Thraximundar,Double Masters 2022,1,FALSE,0.68,Rare,287,0e7334eb-66c1-4410-966c-4e76c1b9e9a7,287,2x2,rare
Tower Gargoyle,Double Masters 2022,1,FALSE,0.15,Uncommon,288,55aef108-6aaf-465d-b3f6-5ac1499f44a3,288,2x2,uncommon
"Ulasht, the Hate Seed",Double Masters 2022,1,FALSE,0.25,Rare,289,002fe870-eae5-42cc-a44c-32906f60719e,289,2x2,rare
"Uril, the Miststalker",Double Masters 2022,1,FALSE,1.02,Mythic Rare,290,ca984fdb-aaca-4d8f-af2f-72387122607b,290,2x2,mythic
"Varina, Lich Queen",Double Masters 2022,1,FALSE,0.43,Rare,291,f1caccc8-4f33-4ae3-a09a-b41b9c4663a1,291,2x2,rare
Villainous Wealth,Double Masters 2022,1,FALSE,0.49,Rare,292,782c4bd2-b84a-4dbd-9452-90c9734d78fb,292,2x2,rare
"Wasitora, Nekoru Queen",Double Masters 2022,1,FALSE,0.53,Rare,293,07790bd5-0d27-490e-b1ae-3b866882461e,293,2x2,rare
Wilt-Leaf Liege,Double Masters 2022,1,FALSE,0.49,Rare,294,4928cb86-6971-458b-ad74-1b39c0e1c177,294,2x2,rare
Winged Coatl,Double Masters 2022,1,FALSE,0.15,Common,295,400862ac-f229-4f73-949c-779f6bfa868b,295,2x2,common
Wrenn and Six,Double Masters 2022,1,FALSE,14.85,Mythic Rare,296,5bd498cc-a609-4457-9325-6888d59ca36f,296,2x2,mythic
Zur the Enchanter,Double Masters 2022,1,FALSE,1.03,Rare,297,aeb0160a-dfdc-4b1f-865e-ef905aee65d5,297,2x2,rare
Aether Vial,Double Masters 2022,1,FALSE,5.00,Rare,298,11e8d2fd-b132-4807-9410-8edeffa519ed,298,2x2,rare
Bloodforged Battle-Axe,Double Masters 2022,1,FALSE,0.89,Rare,299,e1939833-05e5-4cbd-b766-7837e72e5929,299,2x2,rare
Civic Saber,Double Masters 2022,1,FALSE,0.20,Uncommon,300,f63c1112-4cfc-4af9-85a9-4431886f19bb,300,2x2,uncommon
Coldsteel Heart,Double Masters 2022,1,FALSE,1.02,Uncommon,301,b2548ad2-3c62-4ed1-899c-1002b46cdd8f,301,2x2,uncommon
Conqueror's Flail,Double Masters 2022,1,FALSE,5.23,Rare,302,d5f5399a-26c6-4ecd-9715-f6440f6958f1,302,2x2,rare
Crucible of Worlds,Double Masters 2022,1,FALSE,25.00,Mythic Rare,303,7f4893ef-f983-418b-b7a4-5f073c844545,303,2x2,mythic
Darksteel Plate,Double Masters 2022,1,FALSE,9.12,Rare,304,3f99fb1e-99a6-4c83-98eb-7bff23996a7f,304,2x2,rare
Dragon Arch,Double Masters 2022,1,FALSE,0.72,Uncommon,305,d2312a56-088f-42f9-9bd2-7b0b94935236,305,2x2,uncommon
Firemind Vessel,Double Masters 2022,1,FALSE,0.29,Uncommon,306,9591f918-df2e-4663-b622-f731b0e01b6d,306,2x2,uncommon
Livewire Lash,Double Masters 2022,1,FALSE,0.25,Uncommon,307,a4ac4633-066b-4897-b484-2ec654c7eaa1,307,2x2,uncommon
Mana Vault,Double Masters 2022,1,FALSE,70.56,Mythic Rare,308,c1a31d52-a407-4ded-bfca-cc812f11afa0,308,2x2,mythic
Nim Deathmantle,Double Masters 2022,1,FALSE,3.69,Rare,309,787b1cc8-42b4-4d3e-9b8a-a252de297b1a,309,2x2,rare
Panharmonicon,Double Masters 2022,1,FALSE,6.35,Rare,310,998d0cc8-ca2a-41c3-ab65-d05c26ab8278,310,2x2,rare
Pithing Needle,Double Masters 2022,1,FALSE,0.61,Rare,312,776899f8-e977-42b7-8b54-6f726a349e3c,312,2x2,rare
Planar Bridge,Double Masters 2022,1,FALSE,1.99,Rare,313,30879758-841c-46a9-a0b6-179ac163f0ac,313,2x2,rare
Sensei's Divining Top,Double Masters 2022,1,FALSE,28.42,Rare,314,e5142b7a-e580-4737-a4aa-2590f6610ceb,314,2x2,rare
Thrumming Stone,Double Masters 2022,1,FALSE,26.11,Rare,315,14adc0af-de61-4872-916c-3cf480dece46,315,2x2,rare
Traveler's Amulet,Double Masters 2022,1,FALSE,0.15,Common,316,e93621a8-d0f4-436e-9e4f-cccc0447eae8,316,2x2,common
Vedalken Orrery,Double Masters 2022,1,FALSE,7.14,Rare,317,44067327-6fe3-4222-b591-6d14d0e360d7,317,2x2,rare
Azorius Chancery,Double Masters 2022,1,FALSE,0.25,Uncommon,318,7084fc02-8941-4a4f-805d-3c1625cf1d58,318,2x2,uncommon
Boros Garrison,Double Masters 2022,1,FALSE,0.25,Uncommon,319,c26abe8c-4f06-448d-9e0e-8214592cb885,319,2x2,uncommon
City of Brass,Double Masters 2022,1,FALSE,17.32,Rare,321,bed4a63d-632a-4a3a-b35f-f8e155237d27,321,2x2,rare
Dimir Aqueduct,Double Masters 2022,1,FALSE,0.25,Uncommon,322,877b7b90-80d4-4cad-af7c-a0b36c590ca0,322,2x2,uncommon
Forbidden Orchard,Double Masters 2022,1,FALSE,7.60,Rare,323,17db644c-1acf-477d-9c20-f72221f1108a,323,2x2,rare
Golgari Rot Farm,Double Masters 2022,1,FALSE,0.36,Uncommon,324,5a9b093d-a483-4c7d-81b5-9c70c866bbb1,324,2x2,uncommon
Gruul Turf,Double Masters 2022,1,FALSE,0.28,Uncommon,325,294b7e06-4758-4590-b1f0-b7f97537218f,325,2x2,uncommon
Izzet Boilerworks,Double Masters 2022,1,FALSE,0.32,Uncommon,326,eb746aeb-7595-4b45-8ffc-90f220308960,326,2x2,uncommon
Orzhov Basilica,Double Masters 2022,1,FALSE,0.25,Uncommon,327,d1d7237b-6749-4d39-bc69-5185d01e24d4,327,2x2,uncommon
Pillar of the Paruns,Double Masters 2022,1,FALSE,0.95,Rare,328,4c66bacf-ad9a-40c3-a2b7-464be8d4dd24,328,2x2,rare
Rakdos Carnarium,Double Masters 2022,1,FALSE,0.35,Uncommon,329,287c4a77-a458-4493-a35e-6bbb6d88087f,329,2x2,uncommon
Selesnya Sanctuary,Double Masters 2022,1,FALSE,0.29,Uncommon,330,e8af7e5a-806b-4264-9010-f497b40a7fb4,330,2x2,uncommon
Simic Growth Chamber,Double Masters 2022,1,FALSE,0.28,Uncommon,331,f511cf93-3443-4e35-8425-a1e2d24a6157,331,2x2,uncommon
Cryptic Spires,Double Masters 2022,1,FALSE,0.19,Common,332,309a6684-ecb3-491c-899a-3aa15a51130b,332,2x2,common
"Liliana, the Last Hope (Borderless)",Double Masters 2022 Variants,1,TRUE,6.85,Mythic Rare,333,,,,
Wrenn and Six (Borderless),Double Masters 2022 Variants,1,TRUE,16.16,Mythic Rare,334,,,,
"Emrakul, the Aeons Torn (Borderless)",Double Masters 2022 Variants,1,TRUE,21.64,Mythic Rare,335,,,,
"Ulamog, the Infinite Gyre (Borderless)",Double Masters 2022 Variants,1,TRUE,51.00,Mythic Rare,337,,,,
Flickerwisp (Borderless),Double Masters 2022 Variants,1,FALSE,0.50,Uncommon,339,,,,
Mentor of the Meek (Borderless),Double Masters 2022 Variants,1,FALSE,0.49,Uncommon,340,,,,
Seeker of the Way (Borderless),Double Masters 2022 Variants,1,TRUE,0.23,Common,341,,,,
Smothering Tithe (Borderless),Double Masters 2022 Variants,1,TRUE,38.95,Rare,342,,,,
Teferi's Protection (Borderless),Double Masters 2022 Variants,1,TRUE,31.34,Rare,343,,,,
Wall of Omens (Borderless),Double Masters 2022 Variants,1,TRUE,0.41,Uncommon,344,,,,
Consecrated Sphinx (Borderless),Double Masters 2022 Variants,1,TRUE,33.93,Mythic Rare,345,,,,
Force of Negation (Borderless),Double Masters 2022 Variants,1,TRUE,53.90,Rare,346,,,,
Gifts Ungiven (Borderless),Double Masters 2022 Variants,1,TRUE,2.59,Rare,347,,,,
Mulldrifter (Borderless),Double Masters 2022 Variants,1,TRUE,1.05,Uncommon,349,,,,
Spell Pierce (Borderless),Double Masters 2022 Variants,1,FALSE,0.50,Common,350,,,,
Thought Scour (Borderless),Double Masters 2022 Variants,1,TRUE,0.40,Common,351,,,,
Blood Artist (Borderless),Double Masters 2022 Variants,1,TRUE,3.29,Uncommon,352,,,,
Imperial Seal (Borderless),Double Masters 2022 Variants,1,FALSE,98.99,Mythic Rare,354,,,,
Inquisition of Kozilek (Borderless),Double Masters 2022 Variants,1,TRUE,0.55,Uncommon,355,,,,
Surgical Extraction (Borderless),Double Masters 2022 Variants,1,FALSE,4.32,Rare,356,,,,
Chaos Warp (Borderless),Double Masters 2022 Variants,1,FALSE,3.99,Rare,359,,,,
Dockside Extortionist (Borderless),Double Masters 2022 Variants,1,FALSE,28.95,Mythic Rare,360,,,,
Lightning Bolt (Borderless),Double Masters 2022 Variants,1,TRUE,2.09,Uncommon,361,,,,
Monastery Swiftspear (Borderless),Double Masters 2022 Variants,1,TRUE,0.63,Common,362,,,,
Seasoned Pyromancer (Borderless),Double Masters 2022 Variants,1,TRUE,5.79,Mythic Rare,363,,,,
Young Pyromancer (Borderless),Double Masters 2022 Variants,1,TRUE,0.73,Uncommon,364,,,,
Bloom Tender (Borderless),Double Masters 2022 Variants,1,TRUE,16.68,Rare,366,,,,
Eternal Witness (Borderless),Double Masters 2022 Variants,1,FALSE,1.43,Uncommon,368,,,,
Hardened Scales (Borderless),Double Masters 2022 Variants,1,FALSE,2.53,Rare,369,,,,
Oracle of Mul Daya (Borderless),Double Masters 2022 Variants,1,TRUE,10.01,Rare,370,,,,
Rampant Growth (Borderless),Double Masters 2022 Variants,1,TRUE,1.13,Common,371,,,,
Assassin's Trophy (Borderless),Double Masters 2022 Variants,1,TRUE,5.36,Rare,372,,,,
Burning-Tree Emissary (Borderless),Double Masters 2022 Variants,1,TRUE,0.23,Common,374,,,,
Coiling Oracle (Borderless),Double Masters 2022 Variants,1,TRUE,0.14,Common,375,,,,
Dragonlord Dromoka (Borderless),Double Masters 2022 Variants,1,FALSE,13.27,Mythic Rare,376,,,,
"Elenda, the Dusk Rose (Borderless)",Double Masters 2022 Variants,1,TRUE,8.17,Mythic Rare,377,,,,
Glimpse the Unthinkable (Borderless),Double Masters 2022 Variants,1,TRUE,2.49,Rare,378,,,,
Grim Flayer (Borderless),Double Masters 2022 Variants,1,TRUE,0.47,Rare,380,,,,
Kolaghan's Command (Borderless),Double Masters 2022 Variants,1,TRUE,1.93,Rare,381,,,,
"Marchesa, the Black Rose (Borderless)",Double Masters 2022 Variants,1,TRUE,1.29,Rare,382,,,,
The Mimeoplasm (Borderless),Double Masters 2022 Variants,1,FALSE,0.60,Rare,383,,,,
Privileged Position (Borderless),Double Masters 2022 Variants,1,TRUE,3.26,Rare,385,,,,
Qasali Pridemage (Borderless),Double Masters 2022 Variants,1,TRUE,0.19,Common,386,,,,
"Sedris, the Traitor King (Borderless)",Double Masters 2022 Variants,1,TRUE,1.52,Mythic Rare,387,,,,
Supreme Verdict (Borderless),Double Masters 2022 Variants,1,TRUE,3.95,Rare,388,,,,
Terminate (Borderless),Double Masters 2022 Variants,1,FALSE,1.07,Uncommon,389,,,,
Pithing Needle (Borderless),Double Masters 2022 Variants,1,FALSE,1.39,Rare,397,,,,
Sensei's Divining Top (Borderless),Double Masters 2022 Variants,1,FALSE,37.44,Rare,398,,,,
Vedalken Orrery (Borderless),Double Masters 2022 Variants,1,FALSE,8.02,Rare,399,,,,
Azorius Chancery (Borderless),Double Masters 2022 Variants,1,TRUE,1.14,Uncommon,400,,,,
Boros Garrison (Borderless),Double Masters 2022 Variants,1,FALSE,1.01,Uncommon,401,,,,
City of Brass (Borderless),Double Masters 2022 Variants,1,TRUE,25.32,Rare,403,,,,
Dimir Aqueduct (Borderless),Double Masters 2022 Variants,1,FALSE,1.34,Uncommon,404,,,,
Golgari Rot Farm (Borderless),Double Masters 2022 Variants,1,FALSE,1.77,Uncommon,406,,,,
Izzet Boilerworks (Borderless),Double Masters 2022 Variants,1,FALSE,1.10,Uncommon,408,,,,
