Name,Set,Qty,Foil,Avg Price,Rarity,Number,scryfall_id,collector_number,scryfall_set,scryfall_rarity
Blood Baron of Vizkopa,Iconic Masters,1,FALSE,0.60,Rare,195,56955e63-db6f-4f1d-b3c4-dd268c902653,195,ima,rare
Doorkeeper,Iconic Masters,1,FALSE,0.20,Common,53,ca527a9e-3a01-4e0b-add4-a6882f1c89d1,53,ima,common
Grove of the Burnwillows,Iconic Masters,1,FALSE,11.02,Rare,238,de4b75ad-7539-4184-a940-6014a0327b3a,238,ima,rare
Grove of the Burnwillows,Iconic Masters,1,TRUE,12.28,Rare,238,de4b75ad-7539-4184-a940-6014a0327b3a,238,ima,rare
Mindcrank,Iconic Masters,1,FALSE,10.01,Uncommon,220,2679a847-7196-4a45-8610-229aa2e124d6,220,ima,uncommon
Mishra's Bauble,Iconic Masters,1,TRUE,1.41,Uncommon,221,8dbe32c7-180f-4b9e-b260-0ff1d9017e28,221,ima,uncommon
Nimbus Maze,Iconic Masters,1,FALSE,4.04,Rare,242,4152c6a1-7c78-483e-b13f-cb43a6bd4001,242,ima,rare
